wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag
OAX,2005-11-28 20:39,2005-11-29 05:16,2005-11-28 20:39,200511290600,BZ,C,W,1,CAN,NEZ031,1496.980713,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 12:00,2005-11-29 05:16,2005-11-27 22:17,200511290000,BZ,C,W,1,CAN,NEZ016,2182.841309,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ033,1508.45105,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ043,1071.776611,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ018,1118.937256,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 12:00,2005-11-29 05:16,2005-11-27 22:17,200511290000,BZ,C,W,1,CAN,NEZ011,2989.198242,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ042,1789.009033,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 20:39,2005-11-29 05:16,2005-11-28 20:39,200511290600,BZ,C,W,1,CAN,NEZ017,1509.834473,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 20:39,2005-11-29 05:16,2005-11-28 20:39,200511290600,BZ,C,W,1,CAN,NEZ012,1939.082275,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ032,1098.628174,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 12:00,2005-11-29 05:16,2005-11-27 22:17,200511290000,BZ,C,W,1,CAN,NEZ030,1755.239014,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2005-11-28 22:10,2005-11-29 05:16,2005-11-28 22:10,200511290600,BZ,C,W,1,CAN,NEZ015,996.6748657,2005-11-29 05:16,,,,,FALSE,,,,,,
OAX,2007-03-01 09:00,2007-03-02 02:42,2007-02-28 21:41,200703021200,BZ,C,W,1,CAN,NEZ015,996.6748657,2007-03-02 02:42,,,,,FALSE,,,,,,
OAX,2007-03-01 09:00,2007-03-02 06:00,2007-02-28 21:41,200703011800,BZ,C,W,1,EXP,IAZ043,1818.06897,2007-03-02 06:02,,,,,FALSE,,,,,,
OAX,2007-03-01 14:32,2007-03-02 02:42,2007-03-01 14:32,200703020000,BZ,C,W,1,CAN,IAZ080,1087.724854,2007-03-02 02:42,,,,,FALSE,,,,,,
OAX,2007-03-01 14:32,2007-03-02 02:42,2007-03-01 14:32,200703020000,BZ,C,W,1,CAN,IAZ091,1416.511475,2007-03-02 02:42,,,,,FALSE,,,,,,
OAX,2007-03-01 09:00,2007-03-02 06:00,2007-02-28 21:41,200703011800,BZ,C,W,1,EXP,IAZ056,1497.278076,2007-03-02 06:02,,,,,FALSE,,,,,,
OAX,2007-03-01 09:00,2007-03-02 02:42,2007-02-28 21:41,200703011800,BZ,C,W,1,CAN,IAZ069,2464.052734,2007-03-02 02:42,,,,,FALSE,,,,,,
OAX,2007-03-01 09:00,2007-03-02 02:42,2007-02-28 21:41,200703011800,BZ,C,W,1,CAN,IAZ055,1772.521484,2007-03-02 02:42,,,,,FALSE,,,,,,
OAX,2007-03-01 14:32,2007-03-02 00:00,2007-03-01 14:32,200703020000,BZ,C,W,1,EXP,NEZ052,891.8168335,2007-03-02 00:16,,,,,FALSE,,,,,,
OAX,2007-03-01 14:32,2007-03-02 00:00,2007-03-01 14:32,200703020000,BZ,C,W,1,EXP,NEZ053,625.8294678,2007-03-02 00:16,,,,,FALSE,,,,,,
