Issue DT,Expire DT,Temperature Min,Temperature Max,Temperature Avg,Wind Spd Min,Wind Spd Max,Wind Spd Avg,Visibility Min,Visibility Max,Visibility Avg,Had Snowfall,counties
2005-11-28 20:39,2005-11-29 05:16,22.37,28.98,24.54,46.52835200000001,64.5580884,53.86,2.485484,6.21371,5.18,True,"['NEZ031', 'NEZ017', 'NEZ012']"
2005-11-28 12:00,2005-11-29 05:16,22.37,37.98,28.54,20.5127398,64.5580884,46.61,2.485484,6.21371,5.55,True,"['NEZ016', 'NEZ011', 'NEZ030']"
2005-11-28 22:10,2005-11-29 05:16,22.37,26.1,23.65,46.52835200000001,64.5580884,53.54,2.485484,6.21371,4.95,True,"['NEZ033', 'NEZ043', 'NEZ018', 'NEZ042', 'NEZ032', 'NEZ015']"
2007-03-01 09:00,2007-03-02 02:42,26.67,32.52,30.24,33.5317306,80.06008259999999,56.59,0.2485484,6.21371,2.12,True,"['NEZ015', 'NEZ034']"
2007-03-01 09:00,2007-03-02 06:00,26.67,32.52,29.86,33.5317306,80.06008259999999,56.24,0.2485484,6.21371,2.56,True,[]
2007-03-01 14:32,2007-03-02 02:42,26.67,30.72,28.58,54.0444704,80.06008259999999,64.41,0.2485484,6.21371,2.59,True,[]
2007-03-01 14:32,2007-03-02 00:00,27.43,30.72,28.91,56.54984320000001,80.06008259999999,67.0,0.2485484,6.21371,1.61,True,"['NEZ052', 'NEZ053', 'NEZ045', 'NEZ067']"
2007-03-01 14:32,2007-03-01 21:45,27.43,30.72,29.08,56.54984320000001,80.06008259999999,67.55,0.2485484,2.000193249,0.58,True,"['NEZ044', 'NEZ051', 'NEZ068']"
2007-03-02 18:14,2007-03-03 10:00,16.79,27.73,22.16,38.52010679999999,59.055216,48.39,0.2485484,5.999958376,2.84,True,"['NEZ017', 'NEZ034', 'NEZ033', 'NEZ015', 'NEZ045', 'NEZ018', 'NEZ011', 'NEZ012']"
2009-04-05 00:00,2009-04-05 12:02,33.1,49.89,39.46,38.52010679999999,77.06258300000002,55.99,0.500203655,6.21371,4.78,True,"['NEZ032', 'NEZ042', 'NEZ011', 'NEZ012', 'NEZ018', 'NEZ030', 'NEZ031', 'NEZ015', 'NEZ017', 'NEZ034', 'NEZ033', 'NEZ016']"
2009-12-09 03:00,2009-12-09 11:42,7.47,22.32,14.99,44.0453486,72.05183740000003,61.18,0.4970968,1.4912903999999998,0.79,True,"['NEZ032', 'NEZ031', 'NEZ033', 'NEZ050', 'NEZ017', 'NEZ034', 'NEZ091', 'NEZ068', 'NEZ011', 'NEZ042', 'NEZ052', 'NEZ067', 'NEZ012', 'NEZ093', 'NEZ088', 'NEZ089', 'NEZ065', 'NEZ090', 'NEZ018', 'NEZ016', 'NEZ066', 'NEZ030', 'NEZ051', 'NEZ043', 'NEZ053', 'NEZ092', 'NEZ045', 'NEZ078', 'NEZ044', 'NEZ015']"
2009-12-24 22:00,2009-12-25 21:26,8.37,21.09,11.97,28.520985000000003,72.05183740000003,49.46,0.249791142,2.000193249,0.69,True,"['NEZ045', 'NEZ053', 'NEZ068', 'NEZ092', 'NEZ067', 'NEZ091', 'NEZ090', 'NEZ052', 'NEZ093']"
2009-12-25 06:00,2009-12-26 10:36,8.37,23.2,14.56,13.0189908,72.05183740000003,44.84,0.249791142,6.21371,1.75,True,"['NEZ042', 'NEZ018', 'NEZ017', 'NEZ031', 'NEZ032', 'NEZ012']"
2009-12-24 22:00,2009-12-26 10:36,8.37,23.2,14.02,13.0189908,72.05183740000003,46.53,0.249791142,6.21371,1.44,True,"['NEZ065', 'NEZ044', 'NEZ051', 'NEZ034', 'NEZ050', 'NEZ043', 'NEZ066', 'NEZ089']"
2009-12-25 03:37,2009-12-26 10:36,8.37,23.2,14.19,13.0189908,72.05183740000003,46.07,0.249791142,6.21371,1.61,True,"['NEZ078', 'NEZ088']"
2009-12-24 23:26,2009-12-26 10:36,8.37,23.2,14.0,13.0189908,72.05183740000003,46.44,0.249791142,6.21371,1.49,True,"['NEZ015', 'NEZ033']"
2009-12-24 23:26,2009-12-25 21:26,8.37,21.09,11.85,28.520985000000003,72.05183740000003,49.48,0.249791142,2.000193249,0.71,True,[]
2009-12-25 06:00,2009-12-26 18:00,8.37,23.2,15.15,0.0,72.05183740000003,37.38,0.249791142,6.21371,2.06,True,"['NEZ016', 'NEZ030', 'NEZ011']"
2010-01-25 16:02,2010-01-26 03:00,18.12,24.42,21.51,46.52835200000001,74.5572102,62.88,2.000193249,6.21371,4.65,True,[]
2010-02-14 15:09,2010-02-14 21:00,12.42,19.67,16.65,23.018112600000002,59.055216,42.16,0.500203655,6.21371,2.99,True,"['NEZ030', 'NEZ042', 'NEZ065', 'NEZ050']"
2010-12-11 15:00,2010-12-12 10:00,5.23,14.22,11.01,54.0444704,90.05920440000001,70.93,0.249791142,6.21371,2.09,True,[]
2010-12-11 09:00,2010-12-12 06:15,7.52,44.04,16.28,31.0263578,90.05920440000001,69.18,0.249791142,6.21371,2.25,True,"['NEZ018', 'NEZ015']"
2010-12-11 23:06,2010-12-12 06:15,7.52,13.33,10.69,59.055216,90.05920440000001,73.5,0.249791142,5.999958376,1.53,True,"['NEZ033', 'NEZ051', 'NEZ053', 'NEZ067', 'NEZ044', 'NEZ045', 'NEZ052']"
2010-12-11 23:06,2010-12-12 10:00,5.23,13.33,9.47,54.0444704,90.05920440000001,70.18,0.249791142,6.21371,2.7,True,[]
2010-12-11 09:00,2010-12-12 00:00,12.61,44.04,19.06,31.0263578,90.05920440000001,67.43,0.249791142,6.21371,2.43,True,"['NEZ011', 'NEZ012']"
2010-12-11 15:00,2010-12-12 06:15,7.52,14.22,11.93,56.54984320000001,90.05920440000001,72.82,0.249791142,5.999958376,1.37,True,['NEZ034']
