dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1133136000,2005-11-28 00:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,54.0,10000.0,50.83,53.28,53.87,54.0,990,,,89,14.99,110,,3.63,,,,100,501,Rain,moderate rain,10n
1133139600,2005-11-28 01:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,54.0,8047.0,49.91,53.13,52.07,54.0,990,,,86,21.92,150,34.45,3.3,,,,100,502,Rain,heavy intensity rain,10n
1133139600,2005-11-28 01:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,54.0,8047.0,49.91,53.13,52.07,54.0,990,,,86,21.92,150,34.45,3.3,,,,100,701,Mist,mist,50n
1133143200,2005-11-28 02:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,53.08,10000.0,47.73,51.94,48.47,53.1,990,,,82,6.93,170,,0.3,,,,75,500,Rain,light rain,10n
1133146800,2005-11-28 03:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,48.96,10000.0,46.74,48.18,46.67,48.96,989,,,92,3.36,190,,,3.6,,,20,501,Rain,moderate rain,10n
1133150400,2005-11-28 04:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,50.04,10000.0,47.8,49.06,44.89,50.04,989,,,92,6.93,150,,,,,,100,804,Clouds,overcast clouds,04n
1133154000,2005-11-28 05:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,50.04,10000.0,46.02,48.78,44.89,50.04,988,,,86,0.0,0,,,,,,100,804,Clouds,overcast clouds,04n
1133157600,2005-11-28 06:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,48.06,10000.0,44.98,44.38,43.09,48.47,987,,,89,8.05,20,,1.02,,,,100,501,Rain,moderate rain,10n
1133161200,2005-11-28 07:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,48.06,9656.0,45.84,47.16,41.29,48.06,987,,,92,3.36,270,,0.8,,,,100,500,Rain,light rain,10n
1133161200,2005-11-28 07:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,48.06,9656.0,45.84,47.16,41.29,48.06,987,,,92,3.36,270,,0.8,,,,100,701,Mist,mist,50n
1133164800,2005-11-28 08:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,46.98,10000.0,43.92,44.87,41.29,46.98,986,,,89,4.7,100,,0.5,,,,100,500,Rain,light rain,10n
1133168400,2005-11-28 09:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,42.12,9656.0,40.78,38.39,37.69,42.12,986,,,95,5.82,260,,,1.3,,,75,701,Mist,mist,50n
1133168400,2005-11-28 09:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,42.12,9656.0,40.78,38.39,37.69,42.12,986,,,95,5.82,260,,,1.3,,,75,500,Rain,light rain,10n
1133172000,2005-11-28 10:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,39.24,10000.0,37.38,32.11,37.69,39.47,986,,,93,11.41,300,,0.19,,,,100,500,Rain,light rain,10n
1133175600,2005-11-28 11:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,37.98,10000.0,35.02,29.25,35.87,37.98,986,,,89,14.99,320,,,,,,100,804,Clouds,overcast clouds,04n
1133179200,2005-11-28 12:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,36.0,10000.0,33.91,26.01,34.09,36.0,986,,,92,17.22,320,,,,,,100,804,Clouds,overcast clouds,04n
1133182800,2005-11-28 13:00:00 +0000 UTC,-21600,Eppley Airfield,41.301475,-95.894521,34.02,10000.0,31.95,23.11,32.29,34.07,986,,,92,18.34,300,,,,,,100,804,Clouds,overcast clouds,04n
