Z,C,County
NEZ031,NEC119,Madison
NEZ016,NEC003,Antelope
NEZ033,NEC039,Cuming
NEZ043,NEC037,Colfax
NEZ018,NEC179,Wayne
NEZ011,NEC107,Knox
NEZ042,NEC141,Platte
NEZ017,NEC139,Pierce
NEZ012,NEC027,Cedar
NEZ032,NEC167,Stanton
NEZ030,NEC011,Boone
NEZ015,NEC173,Thurston
NEZ052,NEC055,Douglas
NEZ053,NEC153,Sarpy
NEZ044,NEC053,Dodge
NEZ045,NEC177,Washington
NEZ051,NEC155,Saunders
NEZ068,NEC131,Otoe
NEZ034,NEC021,Burt
NEZ067,NEC025,Cass
NEZ050,NEC023,Butler
NEZ091,NEC127,Nemaha
NEZ093,NEC147,Richardson
NEZ088,NEC095,Jefferson
NEZ089,NEC067,Gage
NEZ065,NEC159,Seward
NEZ090,NEC097,Johnson
NEZ066,NEC109,Lancaster
NEZ092,NEC133,Pawnee
NEZ078,NEC151,Saline
