utc_issue,utc_expire
2005-11-28 20:39,2005-11-29 05:16
2005-11-28 12:00,2005-11-29 05:16
2005-11-28 22:10,2005-11-29 05:16
2007-03-01 09:00,2007-03-02 02:42
2007-03-01 09:00,2007-03-02 06:00
2007-03-01 14:32,2007-03-02 02:42
2007-03-01 14:32,2007-03-02 00:00
2007-03-01 14:32,2007-03-01 21:45
2007-03-02 18:14,2007-03-03 10:00
2009-04-05 00:00,2009-04-05 12:02
2009-12-09 03:00,2009-12-09 11:42
2009-12-24 22:00,2009-12-25 21:26
2009-12-25 06:00,2009-12-26 10:36
2009-12-24 22:00,2009-12-26 10:36
2009-12-25 03:37,2009-12-26 10:36
2009-12-24 23:26,2009-12-26 10:36
2009-12-24 23:26,2009-12-25 21:26
2009-12-25 06:00,2009-12-26 18:00
2010-01-25 16:02,2010-01-26 03:00
2010-02-14 15:09,2010-02-14 21:00
2010-12-11 15:00,2010-12-12 10:00
2010-12-11 09:00,2010-12-12 06:15
2010-12-11 23:06,2010-12-12 06:15
2010-12-11 23:06,2010-12-12 10:00
2010-12-11 09:00,2010-12-12 00:00
2010-12-11 15:00,2010-12-12 06:15
2012-12-20 00:00,2012-12-20 17:35
2012-12-19 21:00,2012-12-20 17:35
2012-12-20 00:00,2012-12-20 11:53
2012-12-19 21:00,2012-12-20 11:53
2016-02-02 06:00,2016-02-03 09:35
2016-02-02 03:00,2016-02-03 09:35
2018-01-22 00:00,2018-01-23 03:05
2018-01-22 09:00,2018-01-23 03:05
2018-01-22 06:00,2018-01-23 03:05
2018-03-05 12:00,2018-03-06 21:04
2018-04-14 09:00,2018-04-15 02:44
2018-04-14 09:00,2018-04-14 19:06
2018-04-14 00:00,2018-04-15 02:44
2018-04-14 03:00,2018-04-15 02:44
2018-04-14 06:00,2018-04-15 02:44
2018-11-25 08:00,2018-11-25 21:26
2018-11-25 10:00,2018-11-25 21:26
2018-11-25 08:00,2018-11-25 17:42
2018-11-25 10:00,2018-11-25 17:42
2018-11-25 10:00,2018-11-26 00:00
2019-02-23 18:00,2019-02-24 03:56
2019-02-23 22:05,2019-02-24 03:56
2019-02-23 18:00,2019-02-24 09:00
2019-04-11 06:00,2019-04-12 01:12
2020-12-23 12:00,2020-12-24 00:14
2021-01-15 06:00,2021-01-15 21:00
2021-01-15 00:00,2021-01-15 21:00
